Data Series,Public Sector Hospital Admissions,Alexandra Hospital,Changi General Hospital,Khoo Teck Puat Hospital,National University Hospital,Ng Teng Fong General Hospital,Sengkang General Hospital,Singapore General Hospital,Tan Tock Seng Hospital,Communicable Disease Centre,National Centre For Infectious Diseases,Institute Of Mental Health / Woodbridge Hospital,Kandang Kerbau Women's & Children's Hospital,National Heart Centre
2023 Dec,43954,1058,4700,4104,6262,3517,4542,6436,5051,na,693,824,6002,765
2023 Nov,42500,861,4502,4020,6090,3432,4262,6344,4887,na,363,846,6099,794
2023 Oct,44532,923,4651,4228,6283,3630,4439,6743,4947,na,366,932,6584,806
2023 Sep,42655,852,4515,4047,5942,3489,4275,6468,4887,na,264,871,6322,723
2023 Aug,45094,957,4877,4153,6354,3711,4492,6764,5345,na,199,910,6532,800
2023 Jul,43072,924,4445,4004,6053,3431,4402,6499,4875,na,241,890,6492,816
2023 Jun,40952,816,4255,3824,5664,3350,4157,6262,5044,na,278,790,5774,738
2023 May,44191,1025,4480,4068,5986,3553,4461,6641,5226,na,501,869,6608,773
2023 Apr,42461,940,4470,3759,5768,3376,4135,6291,4992,na,552,793,6564,821
2023 Mar,45337,1104,4847,3907,6268,3630,4317,6820,5441,na,277,833,7037,856
2023 Feb,40256,922,4272,3346,5593,3251,4088,5860,4852,na,152,753,6401,766
2023 Jan,39761,873,4242,3548,5557,3361,3832,5764,4825,na,159,726,6173,701
2022 Dec,41744,989,4510,3676,5715,3441,4025,6235,5113,na,209,751,6297,783
2022 Nov,41389,956,4382,3657,5671,3382,3857,6237,4922,na,355,757,6504,709
2022 Oct,42611,817,4515,3547,5855,3588,4116,6394,4888,na,637,785,6723,746
2022 Sep,42215,858,4456,3617,5812,3593,3907,6482,4858,na,294,766,6718,854
2022 Aug,42746,908,4495,3786,5754,3772,4180,6348,4786,na,538,824,6561,794
2022 Jul,43640,754,4495,3609,5929,3784,4170,6518,4923,na,910,832,6862,854
2022 Jun,42334,828,4397,3708,5720,3549,3917,6484,4780,na,559,760,6817,815
2022 May,40609,794,4312,3584,5414,3350,3855,6124,4546,na,615,792,6498,725
2022 Apr,39691,779,4327,3591,5384,3222,3869,5967,4268,na,648,838,6032,766
2022 Mar,42387,725,4683,3634,5551,3667,4222,6340,4363,na,1053,855,6507,787
2022 Feb,35994,620,3715,3137,5011,3062,3610,5504,3274,na,921,634,5947,559
2022 Jan,39703,665,4170,3687,5571,3285,3923,6155,4119,na,521,746,6136,725
2021 Dec,38789,676,3996,3556,5642,3266,3667,5936,4028,na,671,678,5930,743
2021 Nov,38417,732,3952,3411,5313,3475,3595,5741,3553,na,1174,630,6157,684
2021 Oct,38369,735,4149,3305,5282,3268,3648,5636,3296,na,1546,694,6109,701
2021 Sep,40430,769,4274,3613,5585,3060,3677,6343,4023,na,1594,695,6014,783
2021 Aug,38681,599,4156,3485,5559,3112,3668,6000,4178,na,727,647,5771,779
2021 Jul,40770,664,4192,3796,5863,3310,3968,6451,4424,na,751,689,5811,851
2021 Jun,36495,626,4030,3518,5390,3168,3558,6072,3268,na,485,666,5010,704
2021 May,34720,630,3955,3369,5182,3080,3449,5897,1576,na,595,630,5587,770
2021 Apr,40168,734,4320,3483,5646,3099,3602,6416,4649,na,592,781,6011,835
2021 Mar,41414,747,4476,3506,6000,3148,3761,6750,4865,na,482,791,5957,931
2021 Feb,34814,602,3880,3236,4805,2541,3125,5709,4235,na,434,668,4860,719
2021 Jan,38086,760,4264,3421,5269,2766,3407,6373,4502,na,546,657,5282,839
2020 Dec,39918,859,4508,3505,5579,3073,3462,6731,4719,na,522,757,5354,849
2020 Nov,37361,787,4262,3250,5102,2915,3483,6389,4210,na,363,665,5134,801
2020 Oct,40268,789,4611,3556,5640,3194,3805,6884,4470,na,330,740,5374,875
2020 Sep,38025,678,4060,3271,5554,3019,3737,6469,4201,na,365,763,5099,809
2020 Aug,38168,681,4257,3291,5303,3057,3714,6408,4233,na,624,640,5164,796
2020 Jul,39344,737,4518,3113,5426,3211,3939,6674,4121,na,924,730,5188,763
2020 Jun,35668,621,4105,2910,4789,2789,3684,6024,3675,na,827,713,4874,657
2020 May,36018,933,3850,3111,4537,3400,3516,5573,3649,na,2079,476,4313,581
2020 Apr,35142,770,3931,3198,4452,3063,3248,5432,3139,na,2294,703,4333,579
2020 Mar,36241,727,3957,3170,5013,2929,3383,5557,4162,na,840,710,5119,674
2020 Feb,34612,667,3713,3100,4910,2885,3019,5166,4120,na,848,732,4892,560
2020 Jan,42524,648,4486,3887,5967,3431,3679,6568,5277,na,362,797,6547,875
2019 Dec,42686,736,4762,3920,5941,3288,3595,6917,5151,na,241,777,6512,846
2019 Nov,42102,691,4423,3757,6058,3365,3484,6994,5078,na,212,786,6312,942
2019 Oct,42164,575,4466,3765,6060,3472,3438,7044,5093,na,205,789,6333,924
2019 Sep,39750,499,4028,3498,5719,3229,3242,6788,4795,na,268,764,6065,855
2019 Aug,41629,499,4341,3709,5931,3431,3380,6829,5086,na,371,815,6303,934
2019 Jul,43792,574,4385,3946,6097,3577,3500,7358,5251,na,422,767,6985,930
2019 Jun,40029,527,4064,3669,5736,3198,3259,6654,4853,na,305,715,6146,903
2019 May,42081,533,4349,3876,6098,3434,3255,6949,5165,na,239,783,6474,926
2019 Apr,40612,462,4231,3621,5866,3434,3125,6733,4939,na,184,847,6293,877
2019 Mar,41660,488,4223,3796,6184,3447,3169,6984,5087,na,174,801,6341,966
2019 Feb,35724,425,3653,3313,5236,3013,2719,5801,4413,na,147,674,5573,757
2019 Jan,40944,510,4348,3652,5896,3462,3015,6624,5024,na,199,716,6618,880
2018 Dec,40418,601,4213,3561,5794,3421,2796,6597,4922,na,277,714,6696,826
2018 Nov,40080,513,4271,3572,5774,3433,2762,6535,4886,311,na,787,6396,840
2018 Oct,40462,525,4237,3777,5888,3646,2461,6672,4874,343,na,770,6362,907
2018 Sep,37759,439,4032,3650,5783,3292,1341,6343,4639,352,na,724,6312,852
2018 Aug,39208,472,4291,3899,6077,3412,491,7003,5197,353,na,783,6345,885
2018 Jul,39309,518,4494,3946,6032,3419,17,7073,5269,377,na,803,6445,916
2018 Jun,37331,323,4251,3812,5732,3373,na,6798,4960,348,na,755,6104,875
2018 May,38874,279,4302,4078,6103,3544,na,7128,5148,397,na,769,6226,900
2018 Apr,37785,449,4192,3862,5925,3461,na,6865,4877,385,na,778,6087,904
2018 Mar,39695,542,4463,4109,6346,3550,na,7092,4921,432,na,805,6441,994
2018 Feb,34470,518,3824,3581,5287,3126,na,6191,4461,343,na,731,5634,774
2018 Jan,39096,642,4385,4003,6052,3704,na,7060,4865,339,na,796,6332,918
2017 Dec,37927,511,4287,4032,5909,3585,na,6699,4874,330,na,790,6033,877
2017 Nov,38038,523,4359,4001,5861,3508,na,6915,4673,355,na,818,6206,819
2017 Oct,37833,557,4327,3959,5816,3691,na,6796,4695,362,na,767,5981,882
2017 Sep,36079,485,4139,3760,5319,3399,na,6713,4519,349,na,698,5846,852
2017 Aug,38296,598,4382,4027,5634,3763,na,7034,4780,346,na,771,6124,837
2017 Jul,38121,633,4309,3873,5588,3631,na,6915,4761,345,na,786,6367,913
2017 Jun,37483,700,4250,3886,5331,3781,na,6746,4785,364,na,803,5960,877
2017 May,38379,765,4340,3994,5375,3840,na,6782,4891,353,na,844,6325,870
2017 Apr,36350,527,4045,3904,4935,3656,na,6552,4575,378,na,712,6220,846
2017 Mar,38556,525,4416,4023,5310,3786,na,6937,4940,347,na,865,6464,943
2017 Feb,34090,372,3958,3544,4669,3356,na,6327,4456,285,na,717,5645,761
2017 Jan,35046,272,4017,3607,5050,3383,na,6316,4682,318,na,745,5931,725
2016 Dec,36215,291,4208,3840,5100,3379,na,6686,4719,328,na,696,6165,803
2016 Nov,35822,261,4147,3696,5099,3295,na,6767,4623,304,na,741,6083,806
2016 Oct,35617,293,4084,3582,5022,3314,na,6793,4702,287,na,731,6032,777
2016 Sep,35087,354,3978,3519,4991,3273,na,6722,4472,300,na,733,5943,802
2016 Aug,36795,461,4269,3621,5213,3439,na,6762,4875,415,na,762,6208,770
